Series ID,Year,Period,Label,Value,1-Month Net Change,6-Month Net Change,12-Month Net Change,1-Month % Change,6-Month % Change,12-Month % Change
APU000074714,2011,M01,2011 Jan,3.091,0.106,0.355,0.360,3.6,13.0,13.2
APU000074714,2011,M02,2011 Feb,3.167,0.076,0.422,0.508,2.5,15.4,19.1
APU000074714,2011,M03,2011 Mar,3.546,0.379,0.842,0.766,12.0,31.1,27.6
APU000074714,2011,M04,2011 Apr,3.816,0.270,1.021,0.958,7.6,36.5,33.5
APU000074714,2011,M05,2011 May,3.933,0.117,1.081,1.064,3.1,37.9,37.1
APU000074714,2011,M06,2011 Jun,3.702,-0.231,0.717,0.966,-5.9,24.0,35.3
APU000074714,2011,M07,2011 Jul,3.654,-0.048,0.563,0.918,-1.3,18.2,33.6
APU000074714,2011,M08,2011 Aug,3.630,-0.024,0.463,0.885,-0.7,14.6,32.2
APU000074714,2011,M09,2011 Sep,3.612,-0.018,0.066,0.908,-0.5,1.9,33.6
APU000074714,2011,M10,2011 Oct,3.468,-0.144,-0.348,0.673,-4.0,-9.1,24.1
APU000074714,2011,M11,2011 Nov,3.423,-0.045,-0.510,0.571,-1.3,-13.0,20.0
APU000074714,2011,M12,2011 Dec,3.278,-0.145,-0.424,0.293,-4.2,-11.5,9.8
APU000074714,2012,M01,2012 Jan,3.399,0.121,-0.255,0.308,3.7,-7.0,10.0
APU000074714,2012,M02,2012 Feb,3.572,0.173,-0.058,0.405,5.1,-1.6,12.8
APU000074714,2012,M03,2012 Mar,3.868,0.296,0.256,0.322,8.3,7.1,9.1
APU000074714,2012,M04,2012 Apr,3.927,0.059,0.459,0.111,1.5,13.2,2.9
APU000074714,2012,M05,2012 May,3.792,-0.135,0.369,-0.141,-3.4,10.8,-3.6
APU000074714,2012,M06,2012 Jun,3.552,-0.240,0.274,-0.150,-6.3,8.4,-4.1
APU000074714,2012,M07,2012 Jul,3.451,-0.101,0.052,-0.203,-2.8,1.5,-5.6
APU000074714,2012,M08,2012 Aug,3.707,0.256,0.135,0.077,7.4,3.8,2.1
APU000074714,2012,M09,2012 Sep,3.856,0.149,-0.012,0.244,4.0,-0.3,6.8
APU000074714,2012,M10,2012 Oct,3.786,-0.070,-0.141,0.318,-1.8,-3.6,9.2
APU000074714,2012,M11,2012 Nov,3.488,-0.298,-0.304,0.065,-7.9,-8.0,1.9
APU000074714,2012,M12,2012 Dec,3.331,-0.157,-0.221,0.053,-4.5,-6.2,1.6
APU000074714,2013,M01,2013 Jan,3.351,0.020,-0.100,-0.048,0.6,-2.9,-1.4
APU000074714,2013,M02,2013 Feb,3.693,0.342,-0.014,0.121,10.2,-0.4,3.4
APU000074714,2013,M03,2013 Mar,3.735,0.042,-0.121,-0.133,1.1,-3.1,-3.4
APU000074714,2013,M04,2013 Apr,3.590,-0.145,-0.196,-0.337,-3.9,-5.2,-8.6
APU000074714,2013,M05,2013 May,3.623,0.033,0.135,-0.169,0.9,3.9,-4.5
APU000074714,2013,M06,2013 Jun,3.633,0.010,0.302,0.081,0.3,9.1,2.3
APU000074714,2013,M07,2013 Jul,3.628,-0.005,0.277,0.177,-0.1,8.3,5.1
APU000074714,2013,M08,2013 Aug,3.600,-0.028,-0.093,-0.107,-0.8,-2.5,-2.9
APU000074714,2013,M09,2013 Sep,3.556,-0.044,-0.179,-0.300,-1.2,-4.8,-7.8
APU000074714,2013,M10,2013 Oct,3.375,-0.181,-0.215,-0.411,-5.1,-6.0,-10.9
APU000074714,2013,M11,2013 Nov,3.251,-0.124,-0.372,-0.237,-3.7,-10.3,-6.8
APU000074714,2013,M12,2013 Dec,3.277,0.026,-0.356,-0.054,0.8,-9.8,-1.6
APU000074714,2014,M01,2014 Jan,3.320,0.043,-0.308,-0.031,1.3,-8.5,-0.9
APU000074714,2014,M02,2014 Feb,3.364,0.044,-0.236,-0.329,1.3,-6.6,-8.9
APU000074714,2014,M03,2014 Mar,3.532,0.168,-0.024,-0.203,5.0,-0.7,-5.4
APU000074714,2014,M04,2014 Apr,3.659,0.127,0.284,0.069,3.6,8.4,1.9
APU000074714,2014,M05,2014 May,3.691,0.032,0.440,0.068,0.9,13.5,1.9
APU000074714,2014,M06,2014 Jun,3.695,0.004,0.418,0.062,0.1,12.8,1.7
APU000074714,2014,M07,2014 Jul,3.633,-0.062,0.313,0.005,-1.7,9.4,0.1
APU000074714,2014,M08,2014 Aug,3.481,-0.152,0.117,-0.119,-4.2,3.5,-3.3
APU000074714,2014,M09,2014 Sep,3.403,-0.078,-0.129,-0.153,-2.2,-3.7,-4.3
APU000074714,2014,M10,2014 Oct,3.182,-0.221,-0.477,-0.193,-6.5,-13.0,-5.7
APU000074714,2014,M11,2014 Nov,2.887,-0.295,-0.804,-0.364,-9.3,-21.8,-11.2
APU000074714,2014,M12,2014 Dec,2.560,-0.327,-1.135,-0.717,-11.3,-30.7,-21.9
APU000074714,2015,M01,2015 Jan,2.110,-0.450,-1.523,-1.210,-17.6,-41.9,-36.4
APU000074714,2015,M02,2015 Feb,2.249,0.139,-1.232,-1.115,6.6,-35.4,-33.1
APU000074714,2015,M03,2015 Mar,2.483,0.234,-0.920,-1.049,10.4,-27.0,-29.7
APU000074714,2015,M04,2015 Apr,2.485,0.002,-0.697,-1.174,0.1,-21.9,-32.1
APU000074714,2015,M05,2015 May,2.775,0.290,-0.112,-0.916,11.7,-3.9,-24.8
